service_zone,initial_bikes,timestamp
0,7,2026-03-20 23:01:00
1,26,2026-03-20 23:01:00
2,15,2026-03-20 23:01:00
3,28,2026-03-20 23:01:00
4,25,2026-03-20 23:01:00
5,15,2026-03-20 23:01:00
6,31,2026-03-20 23:01:00
7,12,2026-03-20 23:01:00
8,41,2026-03-20 23:01:00
9,10,2026-03-20 23:01:00
10,1,2026-03-20 23:01:00
11,59,2026-03-20 23:01:00
12,176,2026-03-20 23:01:00
13,45,2026-03-20 23:01:00
14,11,2026-03-20 23:01:00
15,32,2026-03-20 23:01:00
16,72,2026-03-20 23:01:00
17,20,2026-03-20 23:01:00
18,66,2026-03-20 23:01:00
19,17,2026-03-20 23:01:00
