percentage_met_herkomstland_buiten_europa_tercile,mean_distance,median_distance,std_distance,mean_pct_500m,n_buurten,n_observations,variable,tercile_label,personenautos_per_huishouden_tercile,gemiddeld_inkomen_per_inwoner_tercile,gemiddelde_woz_waarde_tercile
1.0,820.641371623769,577.3659438140074,712.3680630255731,45.25754897739486,62,62,percentage_met_herkomstland_buiten_europa,Low migration,,,
2.0,815.723530445727,527.9376479653562,758.1009640356607,50.39175615540082,50,50,percentage_met_herkomstland_buiten_europa,Medium migration,,,
3.0,687.390991621078,412.63988624317795,556.7167974880607,54.11124183313281,56,56,percentage_met_herkomstland_buiten_europa,High migration,,,
,386.6856905908229,310.43860873116563,258.4653073039423,75.80619136315346,55,55,personenautos_per_huishouden,Low car ownership,1.0,,
,579.3770644684745,456.2380709195476,365.89089710913385,55.68278666112248,59,59,personenautos_per_huishouden,Medium car ownership,2.0,,
,1462.3673617255208,1380.8739793617844,818.7698371333299,14.040003706807555,49,49,personenautos_per_huishouden,High car ownership,3.0,,
,432.99343338642626,378.7637349893867,220.333756232228,68.71855455544934,35,35,gemiddeld_inkomen_per_inwoner,Low income,,1.0,
,613.9494191096735,298.8371774488471,727.0503521254466,69.31741225727562,32,32,gemiddeld_inkomen_per_inwoner,Medium income,,2.0,
,466.56906274486306,332.32350295356116,371.4636171945753,69.30001314254558,34,34,gemiddeld_inkomen_per_inwoner,High income,,3.0,
,407.2735810303131,371.5812443814621,164.78163735025285,69.25642294772211,34,34,gemiddelde_woz_waarde,Low WOZ,,,1.0
,489.41197077037253,283.614988020118,546.6537626092774,74.22942830879707,35,35,gemiddelde_woz_waarde,Medium WOZ,,,2.0
,612.1554660961528,399.023544620248,589.9693651620867,61.90537771704366,34,34,gemiddelde_woz_waarde,High WOZ,,,3.0
