hour,weekday,mean_distance,mean_pct_500m,n_days
0,False,873.0439756438116,52.92175284782286,436
0,True,862.0230682793932,53.76347789840214,1093
1,False,871.8262955592104,52.950685218702986,436
1,True,861.9370254583392,53.789409319078636,1092
2,False,868.8916963219185,53.21785847498518,432
2,True,860.2084150633631,53.91487913624597,1092
3,False,869.3631912623913,53.33625558870447,435
3,True,860.4506634266103,53.94424364938271,1092
4,False,866.6228278989724,53.534373267984755,436
4,True,859.6764121309164,53.99946666390439,1093
5,False,866.2372927878067,53.54661293895736,436
5,True,859.5748595557321,54.00819596293952,1093
6,False,865.7073622662016,53.57332386715697,436
6,True,859.7818154014342,53.97643371922983,1093
7,False,865.2742603423419,53.592717655881515,436
7,True,860.0957392759245,53.9436255087881,1093
8,False,865.012981287449,53.616827481920964,436
8,True,862.1013577696166,53.76556585762982,1091
9,False,865.6457441627908,53.581184015960275,435
9,True,863.3363775651109,53.569468661506086,1092
10,False,866.620926007798,53.437930322800284,435
10,True,865.6014439864734,53.388992039172926,1093
11,False,870.1455262933052,53.070116845190036,435
11,True,869.1538393389951,53.111635768954194,1090
12,False,874.1239855406025,52.590386198896816,436
12,True,870.5105210748166,52.90738795321343,1090
13,False,877.2100781765398,52.19267916933003,435
13,True,872.104179648491,52.74350526366787,1091
14,False,884.886048070101,51.50298638407791,436
14,True,874.480720096115,52.588788151285556,1090
15,False,889.4229197197952,51.128648658016765,436
15,True,875.4828140591965,52.48839922927387,1090
16,False,892.4783135815665,50.91051110164892,436
16,True,876.4460209297245,52.47655037571218,1090
17,False,891.6214596037917,51.109656989542614,436
17,True,876.5858869061494,52.4941571842945,1091
18,False,886.3784982659961,51.517517053666225,436
18,True,874.5395517361725,52.62006948777973,1091
19,False,882.396072838819,51.926607388393734,436
19,True,872.9672932950012,52.749389224535484,1091
20,False,878.6885700057303,52.29062257894628,436
20,True,870.6700385803274,52.92721450356483,1091
21,False,875.3213851990575,52.549681485983726,436
21,True,869.979613389802,53.083309404159515,1090
22,False,872.4291016260156,52.80340994494532,436
22,True,867.7615011748574,53.26052894274631,1090
23,False,870.0274814535769,53.062836918806546,436
23,True,865.7646209047413,53.49222034253747,1090
