density_quartile,density_quartile_label,mean_distance,median_distance,mean_pct_500m,total_addresses,n_buurten,year,run_tag
Q1 lowest density,Q1 lowest density (<= 2878/km2),2726.3037756621907,2772.701053342385,9.687119725414664,15310,41,2022,20220101_20221231
Q2 lower-middle density,Q2 lower-middle density (2878 to 7467/km2),2069.433435651906,1855.9033294649419,18.769215233791922,57605,44,2022,20220101_20221231
Q3 upper-middle density,Q3 upper-middle density (7467 to 11190/km2),2101.9588636932426,2160.6912338043567,23.52082503530264,93789,43,2022,20220101_20221231
Q4 highest density,Q4 highest density (> 11190/km2),824.4340598470391,613.0929384683598,46.289985321116056,148258,44,2022,20220101_20221231
Q1 lowest density,Q1 lowest density (<= 2878/km2),1962.4558517762432,2029.1393124182475,14.428192941921743,15310,41,2023,20230101_20231231
Q2 lower-middle density,Q2 lower-middle density (2878 to 7467/km2),1521.7575279129167,1542.3390420087883,22.44363344735772,57605,44,2023,20230101_20231231
Q3 upper-middle density,Q3 upper-middle density (7467 to 11190/km2),1390.258340011996,1392.2947486600635,29.736896170143265,93789,43,2023,20230101_20231231
Q4 highest density,Q4 highest density (> 11190/km2),549.3883654702165,456.4894372297509,59.02685464546969,148258,44,2023,20230101_20231231
Q1 lowest density,Q1 lowest density (<= 2878/km2),1328.7514828554151,1068.9765361715677,21.435337958640748,15310,41,2024,20240101_20241231
Q2 lower-middle density,Q2 lower-middle density (2878 to 7467/km2),943.9317409218605,882.0324268995766,34.0683682815942,57605,44,2024,20240101_20241231
Q3 upper-middle density,Q3 upper-middle density (7467 to 11190/km2),859.7805251307703,715.6911130613942,39.45273980182356,93789,43,2024,20240101_20241231
Q4 highest density,Q4 highest density (> 11190/km2),409.8503404136461,413.89154286028713,69.76610989733176,148258,44,2024,20240101_20241231
Q1 lowest density,Q1 lowest density (<= 2878/km2),1276.5302259238763,1020.4719923796898,25.015587000407667,15310,41,2025,20250101_20251231
Q2 lower-middle density,Q2 lower-middle density (2878 to 7467/km2),875.875523757155,653.031779836375,40.18673289805771,57605,44,2025,20250101_20251231
Q3 upper-middle density,Q3 upper-middle density (7467 to 11190/km2),770.340392896257,600.2571609570821,46.821501177324315,93789,43,2025,20250101_20251231
Q4 highest density,Q4 highest density (> 11190/km2),338.9248387709343,315.7836908121901,79.59215146482504,148258,44,2025,20250101_20251231
Q1 lowest density,Q1 lowest density (<= 2878/km2),1091.5553676994266,913.3663960599512,32.25094640874182,15310,41,2026,20260101_20260320
Q2 lower-middle density,Q2 lower-middle density (2878 to 7467/km2),694.8322353979718,512.8190770013587,55.06542985060937,57605,44,2026,20260101_20260320
Q3 upper-middle density,Q3 upper-middle density (7467 to 11190/km2),581.1914629858588,391.66623098574496,62.00856814348485,93789,43,2026,20260101_20260320
Q4 highest density,Q4 highest density (> 11190/km2),222.40406695190168,185.6261783393884,93.91304441848588,148258,44,2026,20260101_20260320
