quarter,density_quartile,density_quartile_label,mean_distance,mean_pct_500m,total_addresses,n_buurten,year,run_tag,quarter_label,x_position
4,T1 lowest density,T1 lowest density (<= 4765/km2),2782.6480943116585,11.913511761829572,27753,55,2021,20211001_20211231,Q4,2021.33
4,T2 middle density,T2 middle density (4765 to 9895/km2),2081.535964904146,20.696835578365874,101711,59,2021,20211001_20211231,Q4,2021.33
4,T3 highest density,T3 highest density (> 9895/km2),1110.1458856097029,43.31169005870455,185498,58,2021,20211001_20211231,Q4,2021.33
1,T1 lowest density,T1 lowest density (<= 4765/km2),2844.4785650544572,12.420540316761569,27753,55,2022,20220101_20221231,Q1,2021.67
1,T2 middle density,T2 middle density (4765 to 9895/km2),2135.4510161009684,20.76569066102923,101711,59,2022,20220101_20221231,Q1,2021.67
1,T3 highest density,T3 highest density (> 9895/km2),1150.541192372012,41.60819283193245,185498,58,2022,20220101_20221231,Q1,2021.67
2,T1 lowest density,T1 lowest density (<= 4765/km2),2826.375708435859,10.938053893571942,27753,55,2022,20220101_20221231,Q2,2021.89
2,T2 middle density,T2 middle density (4765 to 9895/km2),2126.085856558586,20.430097437545843,101711,59,2022,20220101_20221231,Q2,2021.89
2,T3 highest density,T3 highest density (> 9895/km2),1186.371054587385,38.718263648580525,185498,58,2022,20220101_20221231,Q2,2021.89
3,T1 lowest density,T1 lowest density (<= 4765/km2),2590.8789931811116,12.234998649951207,27753,55,2022,20220101_20221231,Q3,2022.11
3,T2 middle density,T2 middle density (4765 to 9895/km2),1894.5695677496765,20.182782194776628,101711,59,2022,20220101_20221231,Q3,2022.11
3,T3 highest density,T3 highest density (> 9895/km2),927.857437539028,42.69737370232721,185498,58,2022,20220101_20221231,Q3,2022.11
4,T1 lowest density,T1 lowest density (<= 4765/km2),2478.595297228046,12.653874392979084,27753,55,2022,20220101_20221231,Q4,2022.33
4,T2 middle density,T2 middle density (4765 to 9895/km2),1830.8342860912467,19.719976666201088,101711,59,2022,20220101_20221231,Q4,2022.33
4,T3 highest density,T3 highest density (> 9895/km2),843.2014034091461,44.75282986406089,185498,58,2022,20220101_20221231,Q4,2022.33
1,T1 lowest density,T1 lowest density (<= 4765/km2),2459.4611272707484,14.037552006141668,27753,55,2023,20230101_20231231,Q1,2022.67
1,T2 middle density,T2 middle density (4765 to 9895/km2),1791.578272116298,21.929393558680825,101711,59,2023,20230101_20231231,Q1,2022.67
1,T3 highest density,T3 highest density (> 9895/km2),808.0096362417887,48.33854769507969,185498,58,2023,20230101_20231231,Q1,2022.67
2,T1 lowest density,T1 lowest density (<= 4765/km2),2474.537412247536,13.286193946770865,27753,55,2023,20230101_20231231,Q2,2022.89
2,T2 middle density,T2 middle density (4765 to 9895/km2),1791.02292011653,21.46856929143017,101711,59,2023,20230101_20231231,Q2,2022.89
2,T3 highest density,T3 highest density (> 9895/km2),807.611367359299,49.446590851386766,185498,58,2023,20230101_20231231,Q2,2022.89
3,T1 lowest density,T1 lowest density (<= 4765/km2),1832.3819141226707,15.433051799840802,27753,55,2023,20230101_20231231,Q3,2023.11
3,T2 middle density,T2 middle density (4765 to 9895/km2),1342.7612041447512,24.147361398303357,101711,59,2023,20230101_20231231,Q3,2023.11
3,T3 highest density,T3 highest density (> 9895/km2),679.8685112717488,52.13175353364898,185498,58,2023,20230101_20231231,Q3,2023.11
4,T1 lowest density,T1 lowest density (<= 4765/km2),1275.6993432510687,21.152834861827024,27753,55,2023,20230101_20231231,Q4,2023.33
4,T2 middle density,T2 middle density (4765 to 9895/km2),912.7651143639163,31.118265222664736,101711,59,2023,20230101_20231231,Q4,2023.33
4,T3 highest density,T3 highest density (> 9895/km2),509.84929065090716,61.04108151424565,185498,58,2023,20230101_20231231,Q4,2023.33
1,T1 lowest density,T1 lowest density (<= 4765/km2),1346.970113093245,21.725460790713182,27753,55,2024,20240101_20241231,Q1,2023.67
1,T2 middle density,T2 middle density (4765 to 9895/km2),963.3720293287985,34.71391254865237,101711,59,2024,20240101_20241231,Q1,2023.67
1,T3 highest density,T3 highest density (> 9895/km2),490.98054120372626,63.22957269511069,185498,58,2024,20240101_20241231,Q1,2023.67
2,T1 lowest density,T1 lowest density (<= 4765/km2),1137.056636712927,24.95341181039437,27753,55,2024,20240101_20241231,Q2,2023.89
2,T2 middle density,T2 middle density (4765 to 9895/km2),735.7572833858861,39.717969477288165,101711,59,2024,20240101_20241231,Q2,2023.89
2,T3 highest density,T3 highest density (> 9895/km2),461.702620055179,66.23408040516433,185498,58,2024,20240101_20241231,Q2,2023.89
3,T1 lowest density,T1 lowest density (<= 4765/km2),1317.4361005130193,20.484505497337793,27753,55,2024,20240101_20241231,Q3,2024.11
3,T2 middle density,T2 middle density (4765 to 9895/km2),878.0065323899879,34.482708784680234,101711,59,2024,20240101_20241231,Q3,2024.11
3,T3 highest density,T3 highest density (> 9895/km2),510.1322431778249,60.43475353570073,185498,58,2024,20240101_20241231,Q3,2024.11
4,T1 lowest density,T1 lowest density (<= 4765/km2),1360.130364440733,23.55947493483171,27753,55,2024,20240101_20241231,Q4,2024.33
4,T2 middle density,T2 middle density (4765 to 9895/km2),935.4830759705824,39.216476937735266,101711,59,2024,20240101_20241231,Q4,2024.33
4,T3 highest density,T3 highest density (> 9895/km2),482.61071472973026,66.10642163696274,185498,58,2024,20240101_20241231,Q4,2024.33
1,T1 lowest density,T1 lowest density (<= 4765/km2),1426.2868126323979,21.967644115624477,27753,55,2025,20250101_20251231,Q1,2024.67
1,T2 middle density,T2 middle density (4765 to 9895/km2),979.3884529032903,37.9901164280907,101711,59,2025,20250101_20251231,Q1,2024.67
1,T3 highest density,T3 highest density (> 9895/km2),498.66526477011104,64.62495496464261,185498,58,2025,20250101_20251231,Q1,2024.67
2,T1 lowest density,T1 lowest density (<= 4765/km2),1347.0757152819856,22.449700180920793,27753,55,2025,20250101_20251231,Q2,2024.89
2,T2 middle density,T2 middle density (4765 to 9895/km2),911.7709234792405,39.557311043294646,101711,59,2025,20250101_20251231,Q2,2024.89
2,T3 highest density,T3 highest density (> 9895/km2),482.5973213418975,65.36759116768818,185498,58,2025,20250101_20251231,Q2,2024.89
3,T1 lowest density,T1 lowest density (<= 4765/km2),1088.1508544929916,30.199485650018364,27753,55,2025,20250101_20251231,Q3,2025.11
3,T2 middle density,T2 middle density (4765 to 9895/km2),638.7271458121066,49.67611825550729,101711,59,2025,20250101_20251231,Q3,2025.11
3,T3 highest density,T3 highest density (> 9895/km2),346.0837993288085,78.3367065155138,185498,58,2025,20250101_20251231,Q3,2025.11
4,T1 lowest density,T1 lowest density (<= 4765/km2),1073.8702559728122,32.24259705699804,27753,55,2025,20250101_20251231,Q4,2025.33
4,T2 middle density,T2 middle density (4765 to 9895/km2),656.9252954726817,50.759242481919834,101711,59,2025,20250101_20251231,Q4,2025.33
4,T3 highest density,T3 highest density (> 9895/km2),297.73680078784184,84.44009807693978,185498,58,2025,20250101_20251231,Q4,2025.33
1,T1 lowest density,T1 lowest density (<= 4765/km2),1041.5554088148183,35.476655158758724,27753,55,2026,20260101_20260320,Q1,2025.67
1,T2 middle density,T2 middle density (4765 to 9895/km2),633.3169420909963,57.60309627310159,101711,59,2026,20260101_20260320,Q1,2025.67
1,T3 highest density,T3 highest density (> 9895/km2),266.41643481515626,89.55019632627122,185498,58,2026,20260101_20260320,Q1,2025.67
