service_zone,zone_area_km2,addresses_in_zone,address_density_per_km2,bag_activity_count,bag_activity_function_count,bag_activity_area_m2,bag_activity_density_per_km2,zone_departures_per_hour,zone_arrivals_per_hour,departure_score,density_score,activity_score,service_pressure_score,density_rank,service_category,service_pressure_rank,zones_in_category,category_label
0,17.85303963688168,15620.0,874.921039649262,202,207,201749,11.314599872544873,3238.448195543417,3196.907582184399,0.43031914835717266,0.07974834859063494,0.013479773772901354,0.17451575690690296,1,0,0,4,Cat 0
1,4.103556560152333,20404.0,4972.272150001159,1139,1156,333657,277.564104040939,3964.26836452344,3961.080983584361,0.5654264579154827,0.5771605744329998,0.3600767684400349,0.5008879335961725,14,3,15,4,Cat 3
2,7.9019413116689305,26469.0,3349.6831925229285,569,575,320879,72.00762161568424,4625.418007333067,4589.63747494121,0.6884957156642363,0.3801807298384338,0.09248844272476726,0.38705496274247914,10,2,11,4,Cat 2
3,2.4373939801978888,20609.0,8455.342126645764,1020,1028,329580,418.47974036482503,6298.873670344445,6226.617171734247,1.0,1.0,0.5435172454618262,0.8478390818206087,19,4,19,4,Cat 4
4,2.7388593617476404,17582.0,6419.46068701428,1410,1423,405924,514.8128522744929,3483.5513676691785,3480.574618063737,0.47594371428326837,0.7528470733494738,0.6689212989984151,0.6325706955437191,17,4,17,4,Cat 4
5,7.294075566277181,18301.0,2509.022539416964,7,7,4863,0.9596829558996091,3261.3704193360727,3273.4586602998097,0.4345859903630531,0.27812579840161555,0.0,0.23757059625488952,8,1,5,4,Cat 1
6,3.5191870455949843,12859.0,3653.968894917305,384,395,223854,109.11610977900654,926.6982391789574,935.2479348302131,0.0,0.41712055374993534,0.14079535136754845,0.18597196837249458,11,0,3,4,Cat 0
7,3.4202168782934415,12926.0,3779.2925010210415,395,399,177545,115.48975227474172,2456.8487560002663,2513.3231874165904,0.28482884381334217,0.4323346499266473,0.1490924009376666,0.288751964892552,13,1,6,4,Cat 1
8,3.679900055011388,13515.0,3672.6540933074816,785,798,1012641,213.321010969025,1972.6532525034627,2001.408431621385,0.19469859589034053,0.4193889085653384,0.27644670476576216,0.29684473640714704,12,1,7,4,Cat 1
9,12.728296667351458,15369.0,1207.4671420428188,320,330,200134,25.140834501509662,2961.90136886796,2938.721318826141,0.3788415244003801,0.12011894230638212,0.031478422765430475,0.17681296315739756,3,0,1,4,Cat 0
10,25.058807587939658,5463.0,218.00718094141243,152,159,315764,6.065731558318633,3798.612721572261,3743.7336273428464,0.5345905991328069,0.0,0.0066469273088427885,0.1804125088138832,0,0,2,4,Cat 0
11,3.4110647492191584,9261.0,2714.9880406462457,1391,1400,984667,407.7905587451601,3179.1747073538436,3223.685462135807,0.4192857245702815,0.30312969864203126,0.5296023341969255,0.417339252469746,9,3,13,4,Cat 3
12,2.809626109559019,21409.0,7619.875088418872,2161,2192,1593017,769.1414856403,3153.934380741249,3177.779847534247,0.4145873808665059,0.8985755655519901,1.0,0.771054315472832,18,4,18,4,Cat 4
13,3.2971306131067384,18171.0,5511.155647812897,491,501,220542,148.91736410082726,3576.474180001788,3631.236935305251,0.49324076899103886,0.6425802157810498,0.1926076361453651,0.44280954030581793,15,3,14,4,Cat 3
14,12.067158562196363,16372.0,1356.7402728335499,128,134,100828,10.607302401825946,3210.11431426952,3228.454417638318,0.4250449569915065,0.1382404745464393,0.012559031484751224,0.191948154340899,4,1,4,4,Cat 1
15,11.44905084610743,13526.0,1181.4079771161742,373,379,198915,32.57911987759374,5166.75295118516,5144.882225656507,0.7892621464683494,0.11695539910965512,0.04116139800656623,0.3157929811948569,2,2,9,4,Cat 2
16,9.608067965132348,13437.0,1398.5121721414582,948,963,403563,98.66707890080393,5771.840209939155,5728.443617390259,0.9018957092600101,0.1433115199249803,0.12719306237594696,0.39080009718697906,5,3,12,4,Cat 3
17,9.126945747012002,15424.0,1689.9410194313405,176,178,171861,19.28355935035762,4757.736355046956,4768.5973867002285,0.7131260259378498,0.1786905410781578,0.023853567385253707,0.3052233781337538,6,2,8,4,Cat 2
18,7.974525543552561,14098.0,1767.8794710737739,945,956,570900,118.50234786244263,4489.784097123592,4511.628430286872,0.663248232229011,0.1881521511930988,0.15301412308361362,0.33480483550190776,7,2,10,4,Cat 2
19,2.3056180184085027,14147.0,6135.881957482809,536,540,234122,232.4756294062901,4118.285338272261,4073.6995822393833,0.5940958444093274,0.7184210446155866,0.301381711518499,0.5379662001811376,16,4,16,4,Cat 4
